site,shape,run,owned,section,triage,near_tr,target,sample
08032CE8,table,10,claimed,battle_taunts,,,080A124E,·神の前に　この犠牲を捧げます！··□
08032CEC,table,10,claimed,battle_taunts,,,080A1276,·血だ！　血を捧げよ··□
08032CF0,table,10,claimed,battle_taunts,,,080A1276,·血だ！　血を捧げよ··□
08032CF4,table,10,claimed,battle_taunts,,,080A1292,·わらわは　お前様のもの………··□
08032CF8,table,10,claimed,battle_taunts,,,080A12B8,·私　あなたの奴隷よ··□
08032CFC,table,10,claimed,battle_taunts,,,080A12D4,·あたし　あなたのモノよ！··□
08032D08,table,17,claimed,battle_taunts,,,080A132A,·危険分子！/ただちに除去します！··□
08032D0C,table,17,claimed,battle_taunts,,,080A14A6,·お前も死んで　仲魔になろれ！··□
08032D10,table,17,claimed,battle_taunts,,,080A14CC,·あんたも　ナカマにおなりィ！··□
08032D14,table,17,claimed,battle_taunts,,,080A1354,·うごおおお··□
08032D18,table,17,claimed,battle_taunts,,,080A1368,·うらめしい··□
08032D1C,table,17,claimed,battle_taunts,,,080A137C,·あついい··□
08032D20,table,17,claimed,battle_taunts,,,080A138E,·ひもじい··□
08032D24,table,17,claimed,battle_taunts,,,080A13A0,·抹殺せよ！··□
08032D28,table,17,claimed,battle_taunts,,,080A13B4,·ギギギッギ………··□
08032D2C,table,17,claimed,battle_taunts,,,080A13CE,·ガシャン！　ガシャン！··□
08032D30,table,17,claimed,battle_taunts,,,080A13EE,·BAW！　WOW！··□
08032D34,table,17,claimed,battle_taunts,,,080A140A,·ず…ず…ず…ずうー··□
08032D38,table,17,claimed,battle_taunts,,,080A1426,·オレは　本当のお前だ！/お前は　ここで消えろ！··□
08032D3C,table,17,claimed,battle_taunts,,,080A145E,·ひいひい！··□
08032D40,table,17,claimed,battle_taunts,,,080A1472,·ザワ……ザワ……··□
08032D44,table,17,claimed,battle_taunts,,,080A148C,·グアオオオオオ！··□
08032D48,table,17,claimed,battle_taunts,,,080A14F2,·・・・・・··□
08032DE0,table,54,claimed,dialogue,,,0809E7C0,わらわは　お前様のもの………
08032DE4,table,54,claimed,dialogue,,,0809E7DE,私　あなたの奴隷よ
08032DE8,table,54,claimed,dialogue,,,0809E7F2,あたし　あなたのモノよ！
08032DEC,table,54,claimed,dialogue,,,0809E80C,面妖な奴め！
08032DF0,table,54,claimed,dialogue,,,0809E81A,変な奴ー！
08032DF4,table,54,claimed,dialogue,,,0809E826,ヘンタイだぁ！
08032DF8,table,54,claimed,dialogue,,,0809E836,仲魔は　わらわが治す
08032DFC,table,54,claimed,dialogue,,,0809E84C,仲魔は　治してあげる
08032E00,table,54,claimed,dialogue,,,0809E84C,仲魔は　治してあげる
08032E04,table,54,claimed,dialogue,,,0809E862,共に奈落へ落ちようぞ！！
08032E08,table,54,claimed,dialogue,,,0809E87C,こうなりゃ/アンタも道連れよっ！！
08032E0C,table,54,claimed,dialogue,,,0809E8A0,死ぬときは　みんな一緒よ！
08032E10,table,54,claimed,dialogue,,,0809E8BC,なに？　足りぬともうすのかえ？
08032E14,table,54,claimed,dialogue,,,0809E8DC,マッカが足りないの？
08032E18,table,54,claimed,dialogue,,,0809E8F2,やーん　びんぼうってすきくない/じゃあねー！
08032E1C,table,54,claimed,dialogue,,,0809E920,わらわの仲魔を/その様な目に合わせおって！
08032E20,table,54,claimed,dialogue,,,0809E94C,仲魔をそのまま　ほっとくなんて
08032E24,table,54,claimed,dialogue,,,0809E94C,仲魔をそのまま　ほっとくなんて
08032E28,table,54,claimed,dialogue,,,0809E96C,フッ　甘いぞよ！
08032E2C,table,54,claimed,dialogue,,,0809E97E,フッ　甘い！　甘いなー/チョコより甘いわ　おにーさん！
08032E30,table,54,claimed,dialogue,,,0809E9B6,ブブー！　あっまぁーい！
08032E34,table,54,claimed,dialogue,,,0809E9D0,何と！　
08032E38,table,54,claimed,dialogue,,,0809E9DA,何ですって！　
08032E3C,table,54,claimed,dialogue,,,0809E9EA,何よー！　
08032E40,table,54,claimed,dialogue,,,0809E9F6,許すまじ
08032E44,table,54,claimed,dialogue,,,0809EA00,許せないわ！
08032E48,table,54,claimed,dialogue,,,0809EA0E,Pー！！　に代って/おしおきよッ！
08032E4C,table,54,claimed,dialogue,,,0809EA32,死ぬがいい！
08032E50,table,54,claimed,dialogue,,,0809EA40,いくわよ！
08032E54,table,54,claimed,dialogue,,,0809EA4C,やっちゃうぞ！
08032E58,table,54,claimed,dialogue,,,0809EA5C,その身をもって··我が力　知るがいい！
08032E5C,table,54,claimed,dialogue,,,0809EA84,私の力　見せてあげるわ！
08032E60,table,54,claimed,dialogue,,,0809EA9E,ホンキだしちゃる
08032E64,table,54,claimed,dialogue,,,0809EAB0,まぁ　よいわ
08032E68,table,54,claimed,dialogue,,,0809EABE,まぁ　いいわ
08032E6C,table,54,claimed,dialogue,,,0809EACC,んーと　いいや
08032E70,table,54,claimed,dialogue,,,0809EADC,わらわは/□□·/今後ともよろしく頼むぞよ
08032E74,table,54,claimed,dialogue,,,0809EB08,私は　□□·/今後ともよろしく頼むわ
08032E78,table,54,claimed,dialogue,,,0809EB2E,あたし/□□！·/優しくしてね❤︎⁠
08032E7C,table,54,claimed,dialogue,,,0809EB50,さらばじゃ
08032E80,table,54,claimed,dialogue,,,0809EB5C,じゃあね❤︎⁠
08032E84,table,54,claimed,dialogue,,,0809EB68,バイバイ！
08032E88,table,54,claimed,dialogue,,,0809EB74,それでは/わらわの入る余地はない/仲魔を減らすのかえ？
08032E8C,table,54,claimed,dialogue,,,0809EBAC,あら　仲魔がいっぱい/減らすの？
08032E90,table,54,claimed,dialogue,,,0809EBCE,やだー　いっぱいー/仲魔へらすー？
08032E94,table,54,claimed,dialogue,,,0809EBF2,付き合うて　られぬわ！
08032E98,table,54,claimed,dialogue,,,0809EC0A,はー……つき合ってらんない！··じゃーね！
08032E9C,table,54,claimed,dialogue,,,0809EC36,もお何なのよー　あきれぷー！
08032EA0,table,54,claimed,dialogue,,,0809EC54,そなたの事　忘れまいぞ！
08032EA4,table,54,claimed,dialogue,,,0809EC6E,あなたの事　忘れないわー！
08032EA8,table,54,claimed,dialogue,,,0809EC6E,あなたの事　忘れないわー！
08032EAC,table,54,claimed,dialogue,,,0809EC8A,汝　薄情者よ/見るのも　いとわしいわ！
08032EB0,table,54,claimed,dialogue,,,0809ECB2,アンタみたいな　/どケチなヤツなんか/カオも見たくないわ！
08032EB4,table,54,claimed,dialogue,,,0809ECC4,どケチなヤツなんか/カオも見たくないわ！
08032ED0,table,75,claimed,dialogue,,,0809ED0E,愚かしいにも　ほどがあろう
08032ED4,table,75,claimed,dialogue,,,0809ED2A,アンタ　あほじゃないの？
08032ED8,table,75,claimed,dialogue,,,0809ED2A,アンタ　あほじゃないの？
08032EDC,table,75,claimed,dialogue,,,0809ED44,悪魔と人との　共栄を目指すか
08032EE0,table,75,claimed,dialogue,,,0809ED62,そーいうのもありね
08032EE4,table,75,claimed,dialogue,,,0809ED76,変なヤツがスキ！
08032EE8,table,75,claimed,dialogue,,,0809ED88,仲魔を　よしなに願うぞえ
08032EEC,table,75,claimed,dialogue,,,0809EDA2,仲魔によろしく言っといて！
08032EF0,table,75,claimed,dialogue,,,0809EDBE,あたしの友達に/Hな事しないでね！
08032EF4,table,75,claimed,dialogue,,,0809EDE2,これを　とらすぞ
08032EF8,table,75,claimed,dialogue,,,0809EDF4,私の大切な物/·あ…·げ…·る❤︎⁠
08032EFC,table,75,claimed,dialogue,,,0809EE16,コレあげる！
08032F00,table,75,claimed,dialogue,,,0809EE24,これで　かんにんしてたも
08032F04,table,75,claimed,dialogue,,,0809EE3E,これをあげるから/カンベンして
08032F08,table,75,claimed,dialogue,,,0809EE3E,これをあげるから/カンベンして
08032F0C,table,75,claimed,dialogue,,,0809EE5E,ふがいなし　これをくれてやろう
08032F10,table,75,claimed,dialogue,,,0809EE7E,情けないわねー　これをあげるわ
08032F14,table,75,claimed,dialogue,,,0809EE9E,うっわぁ　だっさぁー！/しゃーナイ　コレあげるわ！
08032F18,table,75,claimed,dialogue,,,0809EED2,□マッカ/おくれ
08032F1C,table,75,claimed,dialogue,,,0809EEE4,□マッカ/ちょうだい！
08032F20,table,75,claimed,dialogue,,,0809EEE4,□マッカ/ちょうだい！
08032F24,table,75,claimed,dialogue,,,0809EEFC,戦う気は　無いのかえ？
08032F28,table,75,claimed,dialogue,,,0809EF14,何なの？　戦う気ないの？
08032F2C,table,75,claimed,dialogue,,,0809EF14,何なの？　戦う気ないの？
08032F30,table,75,claimed,dialogue,,,0809EF2E,あと　もうひとつ
08032F34,table,75,claimed,dialogue,,,0809EF40,ねェ　あと　·ひ…·と…·つ❤︎⁠
08032F38,table,75,claimed,dialogue,,,0809EF40,ねェ　あと　·ひ…·と…·つ❤︎⁠
08032F3C,table,75,claimed,dialogue,,,0809EF60,何か　くださるかえ
08032F40,table,75,claimed,dialogue,,,0809EF74,何か　くれるの？
08032F44,table,75,claimed,dialogue,,,0809EF74,何か　くれるの？
08032F48,table,75,claimed,dialogue,,,0809EF86,わらわが欲しいのかえ？
08032F4C,table,75,claimed,dialogue,,,0809EF9E,アタシが欲しいの？
08032F50,table,75,claimed,dialogue,,,0809EF9E,アタシが欲しいの？
08032F54,table,75,claimed,dialogue,,,0809EFB2,何か望みがあるのかえ？
08032F58,table,75,claimed,dialogue,,,0809EFCA,何か　欲しいの？
08032F5C,table,75,claimed,dialogue,,,0809EFCA,何か　欲しいの？
08032F60,table,75,claimed,dialogue,,,0809EFDC,わらわに　会いたかったのかえ？
08032F64,table,75,claimed,dialogue,,,0809EFFC,アタシと　話したかっただけ？
08032F68,table,75,claimed,dialogue,,,0809EFFC,アタシと　話したかっただけ？
08032F6C,table,75,claimed,dialogue,,,0809F01A,いざ舞わん
08032F70,table,75,claimed,dialogue,,,0809F026,さぁ　あたしと　/踊りましょ！
08032F74,table,75,claimed,dialogue,,,0809F038,踊りましょ！
08032F78,table,75,claimed,dialogue,,,0809F046,よいぞ　よいぞ
08032F7C,table,75,claimed,dialogue,,,0809F056,うーん　ヴェリグー！！
08032F80,table,75,claimed,dialogue,,,0809F06E,いやっほーう！
08032F84,table,75,claimed,dialogue,,,0809F07E,仲魔になれと？
08032F88,table,75,claimed,dialogue,,,0809F08E,あたしってば　あなたの/仲魔になればいいの？
08032F8C,table,75,claimed,dialogue,,,0809F0A6,仲魔になればいいの？
08032F90,table,75,claimed,dialogue,,,0809F0BC,有り難く思うぞよ　
08032F94,table,75,claimed,dialogue,,,0809F0D0,ありがとう　/やさしいのね　
08032F98,table,75,claimed,dialogue,,,0809F0DE,やさしいのね　
08032F9C,table,75,claimed,dialogue,,,0809F0EE,仲魔の具合がすぐれぬ様子………
08032FA0,table,75,claimed,dialogue,,,0809F10E,仲魔が心配だわ………
08032FA4,table,75,claimed,dialogue,,,0809F10E,仲魔が心配だわ………
08032FA8,table,75,claimed,dialogue,,,0809F124,わらわは　嫌じゃ
08032FAC,table,75,claimed,dialogue,,,0809F136,んー　嫌よ！
08032FB0,table,75,claimed,dialogue,,,0809F144,ベーー　だ！
08032FB4,table,75,claimed,dialogue,,,0809F152,ヒイィーー！
08032FB8,table,75,claimed,dialogue,,,0809F160,キャー！
08032FBC,table,75,claimed,dialogue,,,0809F16A,ひゃー！
08032FC0,table,75,claimed,dialogue,,,0809F174,やはり　滅ぼすのか？
08032FC4,table,75,claimed,dialogue,,,0809F18A,やっぱり　殺す気ね？
08032FC8,table,75,claimed,dialogue,,,0809F18A,やっぱり　殺す気ね？
08032FCC,table,75,claimed,dialogue,,,0809F1A0,許してたも
08032FD0,table,75,claimed,dialogue,,,0809F1AC,あたしが　/悪かったわ………
08032FD4,table,75,claimed,dialogue,,,0809F1B8,悪かったわ………
08032FD8,table,75,claimed,dialogue,,,0809F1CA,MAGが　足りぬと言うのかえ！
08032FDC,table,75,claimed,dialogue,,,0809F1EA,MAGが　足りないですって！
08032FE0,table,75,claimed,dialogue,,,0809F208,えー！　MAGたらりんのお？！
08032FE4,table,75,claimed,dialogue,,,0809F228,魔石が　無いと言うのかえ！
08032FE8,table,75,claimed,dialogue,,,0809F244,魔石が　無いですって！
08032FEC,table,75,claimed,dialogue,,,0809F25C,えー！　マセキ無いのお？！
08032FF0,table,75,claimed,dialogue,,,0809F278,□MAG/くれぬか
08032FF4,table,75,claimed,dialogue,,,0809F28C,□MAG/ちょうだい！
08032FF8,table,75,claimed,dialogue,,,0809F28C,□MAG/ちょうだい！
08033000,table,80,claimed,dialogue,,,0809F2AC,それじゃあ……
08033004,table,80,claimed,dialogue,,,0809F2BC,えっとねー　
08033008,table,80,claimed,dialogue,,,0809F2CA,宝石が望みじゃ
0803300C,table,80,claimed,dialogue,,,0809F2DA,宝石を頂けるかしら？
08033010,table,80,claimed,dialogue,,,0809F2F0,宝石ちょーだいっ！
08033014,table,80,claimed,dialogue,,,0809F304,まだまだ
08033018,table,80,claimed,dialogue,,,0809F30E,マダよ　あせっちゃだめ！
0803301C,table,80,claimed,dialogue,,,0809F328,イヤー！　もっとぉ！
08033020,table,80,claimed,dialogue,,,0809F33E,ええい！　こんな物ではないわ
08033024,table,80,claimed,dialogue,,,0809F35C,あたしってば　/こんなモンじゃ/だまされないわよ
08033028,table,80,claimed,dialogue,,,0809F36C,こんなモンじゃ/だまされないわよ
0803302C,table,80,claimed,dialogue,,,0809F38E,魔石が望みじゃ
08033030,table,80,claimed,dialogue,,,0809F39E,魔石　ちょうだい
08033034,table,80,claimed,dialogue,,,0809F3B0,マセキちょー！
08033038,table,80,claimed,dialogue,,,0809F3C0,わらわに勝てると/思うておるのか？
0803303C,table,80,claimed,dialogue,,,0809F3E4,私を　殺せると思うの？
08033040,table,80,claimed,dialogue,,,0809F3FC,ぶっころすぅ？　あたしをー？/本気なのぉ？
08033044,table,80,claimed,dialogue,,,0809F428,つれなし
08033048,table,80,claimed,dialogue,,,0809F432,つれないわね
0803304C,table,80,claimed,dialogue,,,0809F432,つれないわね
08033050,table,80,claimed,dialogue,,,0809F440,今日のところは/見逃してやるわ！
08033054,table,80,claimed,dialogue,,,0809F462,もう　行っていいわ！
08033058,table,80,claimed,dialogue,,,0809F478,あんたなんか/どっか行っちゃえ！
0803305C,table,80,claimed,dialogue,,,0809F49A,なめられたものよ！
08033060,table,80,claimed,dialogue,,,0809F4AE,じょーだんじゃないわ！
08033064,table,80,claimed,dialogue,,,0809F4C6,なんだとー　ぷんすか！！
08033068,table,80,claimed,dialogue,,,0809F4E0,そなたの命　わらわに捧げよ
0803306C,table,80,claimed,dialogue,,,0809F4FC,あなたの命を　ちょーだい！
08033070,table,80,claimed,dialogue,,,0809F4FC,あなたの命を　ちょーだい！
08033074,table,80,claimed,dialogue,,,0809F518,面白い！
08033078,table,80,claimed,dialogue,,,0809F522,おもしろーい！
0803307C,table,80,claimed,dialogue,,,0809F522,おもしろーい！
08033080,table,80,claimed,dialogue,,,0809F532,ほっほっほっ！
08033084,table,80,claimed,dialogue,,,0809F542,ウフフフフ！
08033088,table,80,claimed,dialogue,,,0809F550,キャハハハ！
0803308C,table,80,claimed,dialogue,,,0809F55E,わらわも　なめられたものよ！
08033090,table,80,claimed,dialogue,,,0809F57C,なめるんじゃないわよ　ぼうや
08033094,table,80,claimed,dialogue,,,0809F59A,なめんなよー！
08033098,table,80,claimed,dialogue,,,0809F5AA,近うまいられ
0803309C,table,80,claimed,dialogue,,,0809F5B8,こっちに　いらっしゃいな
080330A0,table,80,claimed,dialogue,,,0809F5D2,キャモーン！
080330A4,table,80,claimed,dialogue,,,0809F5E0,偽りを　もうすな
080330A8,table,80,claimed,dialogue,,,0809F5F2,ウソが下手ね
080330AC,table,80,claimed,dialogue,,,0809F600,見え見えのウソじゃん
080330B0,table,80,claimed,dialogue,,,0809F616,そなた　女心の分かる奴じゃの
080330B4,table,80,claimed,dialogue,,,0809F634,話しが分かるわね❤︎⁠
080330B8,table,80,claimed,dialogue,,,0809F634,話しが分かるわね❤︎⁠
080330BC,table,80,claimed,dialogue,,,0809F648,武器を　置くのが礼儀
080330C0,table,80,claimed,dialogue,,,0809F65E,ガンを　置いて下さらない？
080330C4,table,80,claimed,dialogue,,,0809F67A,ガンはイヤ！　置いてェー
080330C8,table,80,claimed,dialogue,,,0809F694,そなた　何者じゃ！
080330CC,table,80,claimed,dialogue,,,0809F6A8,アンタ何？
080330D0,table,80,claimed,dialogue,,,0809F6A8,アンタ何？
080330D4,table,80,claimed,dialogue,,,0809F6B4,仲魔を裏切れと　もうすか？
080330D8,table,80,claimed,dialogue,,,0809F6D0,私に　/友達　裏切れっての？
080330DC,table,80,claimed,dialogue,,,0809F6D8,友達　裏切れっての？
080330E0,table,80,claimed,dialogue,,,0809F6EE,にわかに　信じられぬわ
080330E4,table,80,claimed,dialogue,,,0809F706,信じらんない
080330E8,table,80,claimed,dialogue,,,0809F706,信じらんない
080330EC,table,80,claimed,dialogue,,,0809F714,本音を隠さぬ奴よ！
080330F0,table,80,claimed,dialogue,,,0809F728,あんたって　バカ正直ね！
080330F4,table,80,claimed,dialogue,,,0809F728,あんたって　バカ正直ね！
080330F8,table,80,claimed,dialogue,,,0809F742,出す物　出さぬと/話にならぬぞえ！
080330FC,table,80,claimed,dialogue,,,0809F766,やっぱ/出すモン　出さないとね！
08033100,table,80,claimed,dialogue,,,0809F766,やっぱ/出すモン　出さないとね！
08033104,table,80,claimed,dialogue,,,0809F788,知らぬわ
08033108,table,80,claimed,dialogue,,,0809F792,知らなーい！
0803310C,table,80,claimed,dialogue,,,0809F792,知らなーい！
08033110,table,80,claimed,dialogue,,,0809F7A0,知っておる
08033114,table,80,claimed,dialogue,,,0809F7AC,ああ　あれね
08033118,table,80,claimed,dialogue,,,0809F7BA,知ってるー！
0803311C,table,80,claimed,dialogue,,,0809F7C8,後生じゃ　
08033120,table,80,claimed,dialogue,,,0809F7D4,·お…·ね…·ぐぁ…·い❤︎⁠
08033124,table,80,claimed,dialogue,,,0809F7D4,·お…·ね…·ぐぁ…·い❤︎⁠
08033128,table,80,claimed,dialogue,,,0809F7F0,ならぬ！··やはり仲魔は　裏切れぬのじゃ/ここまでの話は　忘れておくれ　
0803312C,table,80,claimed,dialogue,,,0809F83A,だめ！　だめよ！··仲魔は　裏切れないわ………··ゴメン　無かった事にし
08033130,table,80,claimed,dialogue,,,0809F83A,だめ！　だめよ！··仲魔は　裏切れないわ………··ゴメン　無かった事にし
08033134,table,80,claimed,dialogue,,,0809F88A,な…仲魔…·…·…·仲魔がー！！　
08033138,table,80,claimed,dialogue,,,0809F88A,な…仲魔…·…·…·仲魔がー！！　
0803313C,table,80,claimed,dialogue,,,0809F88A,な…仲魔…·…·…·仲魔がー！！　
08033148,isolated,1,claimed,dialogue,,,0809F8B6,他にィ　/
08033158,table,97,claimed,dialogue,,,0809F8CA,あいにく　
0803315C,table,97,claimed,dialogue,,,0809F8CA,あいにく　
08033160,table,97,claimed,dialogue,,,0809F8D6,ごめんねェ　
08033164,table,97,claimed,dialogue,,,0809F8E4,ならば　
08033168,table,97,claimed,dialogue,,,0809F8EE,だったら　
0803316C,table,97,claimed,dialogue,,,0809F8FA,じゃーねェ　
08033170,table,97,claimed,dialogue,,,0809F908,その代わり　
08033174,table,97,claimed,dialogue,,,0809F908,その代わり　
08033178,table,97,claimed,dialogue,,,0809F916,代わりにィ　
0803317C,table,97,claimed,dialogue,,,0809F924,つぎは　
08033180,table,97,claimed,dialogue,,,0809F92E,そうね　こんどは…·…·…·
08033184,table,97,claimed,dialogue,,,0809F92E,そうね　こんどは…·…·…·
08033188,table,97,claimed,dialogue,,,0809F94C,では　わらわとの戦いを/楽しむが良い
0803318C,table,97,claimed,dialogue,,,0809F972,それじゃ　私と　戦いましょ！
08033190,table,97,claimed,dialogue,,,0809F972,それじゃ　私と　戦いましょ！
08033194,table,97,claimed,dialogue,,,0809F990,すなわち　汝　ここで死ぬが定め
08033198,table,97,claimed,dialogue,,,0809F9B0,つまり　ここで死ぬのが/運命ってわけ
0803319C,table,97,claimed,dialogue,,,0809F9B0,つまり　ここで死ぬのが/運命ってわけ
080331A0,table,97,claimed,dialogue,,,0809F9D6,うたがいを知らぬと見える
080331A4,table,97,claimed,dialogue,,,0809F9F0,うふふふ　素直なのね
080331A8,table,97,claimed,dialogue,,,0809FA06,ほよよよ
080331AC,table,97,claimed,dialogue,,,0809FA10,名を教えておくれ
080331B0,table,97,claimed,dialogue,,,0809FA22,あなたの名前　教えて欲しいの
080331B4,table,97,claimed,dialogue,,,0809FA22,あなたの名前　教えて欲しいの
080331B8,table,97,claimed,dialogue,,,0809FA40,なぜゆえの　戦いか？
080331BC,table,97,claimed,dialogue,,,0809FA56,なぜ　あなたは戦うの？
080331C0,table,97,claimed,dialogue,,,0809FA56,なぜ　あなたは戦うの？
080331C4,table,97,claimed,dialogue,,,0809FA6E,うれしいものぞ　
080331C8,table,97,claimed,dialogue,,,0809FA80,うれしいわぁ！　
080331CC,table,97,claimed,dialogue,,,0809FA92,うれしー！　
080331D0,table,97,claimed,dialogue,,,0809FAA0,くちおしい！　
080331D4,table,97,claimed,dialogue,,,0809FAB0,キィィィー！　
080331D8,table,97,claimed,dialogue,,,0809FAC0,キー！　くやしい！　
080331DC,table,97,claimed,dialogue,,,0809FAD6,はっ！　言うものよ
080331E0,table,97,claimed,dialogue,,,0809FAEA,いい度胸　してるじゃない
080331E4,table,97,claimed,dialogue,,,0809FB04,生意気じゃないの/あんた　年いくつよ！
080331E8,table,97,claimed,dialogue,,,0809FB2C,わらわの　魅力が分るかえ？
080331EC,table,97,claimed,dialogue,,,0809FB48,私って　イイセンいってる？
080331F0,table,97,claimed,dialogue,,,0809FB64,私ってセクシー？
080331F4,table,97,claimed,dialogue,,,0809FB76,汝に　かまけている　ひまはない
080331F8,table,97,claimed,dialogue,,,0809FB96,ごめんなさい　今は　ダメなのー
080331FC,table,97,claimed,dialogue,,,0809FB96,ごめんなさい　今は　ダメなのー
08033200,table,97,claimed,dialogue,,,0809FBB6,面白そうじゃの　
08033204,table,97,claimed,dialogue,,,0809FBC8,そうねぇ………/考えても　いいなー　
08033208,table,97,claimed,dialogue,,,0809FBD8,考えても　いいなー　
0803320C,table,97,claimed,dialogue,,,0809FBEE,案ずるでない　ひとみをとじよ
08033210,table,97,claimed,dialogue,,,0809FC0C,じゃあ　目をつぶってね
08033214,table,97,claimed,dialogue,,,0809FC0C,じゃあ　目をつぶってね
08033218,table,97,claimed,dialogue,,,0809FC24,チュッ❤︎⁠
0803321C,table,97,claimed,dialogue,,,0809FC24,チュッ❤︎⁠
08033220,table,97,claimed,dialogue,,,0809FC24,チュッ❤︎⁠
08033224,table,97,claimed,dialogue,,,0809FC2E,ほうびを　とらせよう
08033228,table,97,claimed,dialogue,,,0809FC44,ぼうや　/いい子ね　ごほうびよ
0803322C,table,97,claimed,dialogue,,,0809FC4E,いい子ね　ごほうびよ
08033230,table,97,claimed,dialogue,,,0809FC64,つまらぬわ
08033234,table,97,claimed,dialogue,,,0809FC70,あーあ　/つまんなーい！
08033238,table,97,claimed,dialogue,,,0809FC7A,つまんなーい！
0803323C,table,97,claimed,dialogue,,,0809FC8A,苦しゅうないぞ
08033240,table,97,claimed,dialogue,,,0809FC9A,やせ我慢しなくても　いいのよ❤︎⁠
08033244,table,97,claimed,dialogue,,,0809FCBA,ムリしちゃって
08033248,table,97,claimed,dialogue,,,0809FCCA,ふらち者め
0803324C,table,97,claimed,dialogue,,,0809FCD6,スケベー！
08033250,table,97,claimed,dialogue,,,0809FCE2,やっぱ　Hなのー❤︎⁠
08033254,table,97,claimed,dialogue,,,0809FCF6,よろしいか？
08033258,table,97,claimed,dialogue,,,0809FD04,これで　いいかしら？
0803325C,table,97,claimed,dialogue,,,0809FD1A,もってけー！
08033260,table,97,claimed,dialogue,,,0809FD28,汝　人の子よ/悪魔と共に　歩むを望むか？
08033264,table,97,claimed,dialogue,,,0809FD52,あなたって/悪魔と　生きてくつもり？
08033268,table,97,claimed,dialogue,,,0809FD5E,悪魔と　生きてくつもり？
0803326C,table,97,claimed,dialogue,,,0809FD78,ほほほほほほ！
08033270,table,97,claimed,dialogue,,,0809FD88,うふふふふ
08033274,table,97,claimed,dialogue,,,0809FD94,クスクスクス………
08033278,table,97,claimed,dialogue,,,0809FDA8,そなたの目　魔のやどりし目！
0803327C,table,97,claimed,dialogue,,,0809FDC6,そんなに見つめちゃ…·…·…·…·/イヤ❤︎⁠
08033280,table,97,claimed,dialogue,,,0809FDC6,そんなに見つめちゃ…·…·…·…·/イヤ❤︎⁠
08033284,table,97,claimed,dialogue,,,0809FDF2,恐ろしや
08033288,table,97,claimed,dialogue,,,0809FDFC,怖いわ………
0803328C,table,97,claimed,dialogue,,,0809FDFC,怖いわ………
08033290,table,97,claimed,dialogue,,,0809FE0A,汝の手　我ら□の血に/朱く染められ/安らぐ日なぞあるまい？
08033294,table,97,claimed,dialogue,,,0809FE46,悪魔を殺して　平気なの？
08033298,table,97,claimed,dialogue,,,0809FE46,悪魔を殺して　平気なの？
0803329C,table,97,claimed,dialogue,,,0809FE60,お前様の式神となるゆえ/よいか………
080332A0,table,97,claimed,dialogue,,,0809FE86,分ったわ　仲魔になる/ただし………
080332A4,table,97,claimed,dialogue,,,0809FEAA,仲魔になるからぁ　ねぇ………
