severity,section,addr,type_note,current_replace,proposed_fix
high,dialogue,0809AC0A,"JP: 誘っているようだ = ""It seems to be inviting/luring (you)"". Adjacent context (1072: 手まねきをしている？ = ""beckoning?"") confirms the invite/lure reading. The EN ""looks like it mistrusts you"" is unrelated to 誘う and contradicts the JP. Genuine mistranslation.",looks like it{n}mistrusts you.,It seems to be{n}luring you.
high,dialogue,0809B6AC,"JP: 仲魔の具合が　悪い様だ……{n}早く何とかして　やってくれ = ""My ally's condition seems bad...{n}Hurry and do something for him."". The EN is truncated to the fragment ""My ally's condition does"" — verb/object cut off and the entire second clause (早く何とかして　やってくれ) dropped. Player sees a broken fragment. Real dropped-content bug.",My ally's condition does,My ally's condition does{n}not look good...{n}Hurry and do something for him.
high,dialogue,0809C0D2,"ORIG is only the single line 私に命令できるのは{n}主 おひとりのみ！ ('The only one who can command me is my Lord/God alone!'). The EN appends 'I will not follow your commands!', which is verbatim the EN of the SEPARATE next entry 0809C0FC (JP 貴様の命令は 受けぬ！, replace='I will not follow{n}your commands!'). It is glued run-together with no space/break ('...is God!I will not follow'), so a foreign turn is duplicated into this window. Confirmed against dialogue.json idx 1254 vs idx 1255.",The only one that can{n}order me is God!I will not follow{n}your commands!,The only one that can{n}order me is God!
high,dialogue,080A0478,"JP is one short line つっぱっちゃって かわいいー❤︎ ('how cute, getting all uppity'). The EN repeats the localized line twice back-to-back AND then appends 'I shall not die so easily!', which is the EN of the next entry 080A0498 (JP むざむざ 殺されはせぬぞえ！). Duplicated line + foreign turn run together in one window with no {PAGE}/{WAIT}. Confirmed against dialogue.json idx 1824 vs idx 1825.","Ooh, you're so cute when{n}you get like that!🖤Ooh, you're so cute when{n}you get like that!🖤I shall not die{n}so easily!","Ooh, you're so cute when{n}you get like that!🖤"
high,dialogue,080A0994,"JP first window is only the trailing fragment あなたって ('You.../As for you...'), then {PAGE}, then 悪魔をどう思ってるの？. The EN first window fabricates an entire question ('So, do you want to coexist with demonkind peacefully?') absent from the JP; the second window's 'what do you think of demons?' is correct. Structural tokens {WAIT}{PAGE} are intact, so only the first window's invented content needs replacing.","So, do you want to{n}coexist with demonkind{n}peacefully?{WAIT}{PAGE}what do you think of demons?",You...{WAIT}{PAGE}what do you think of demons?
medium,story,08028F9E,"Confirmed. JP first Temple Knight turn is 'テンプルナイト：{n}女の子か？{WAIT}{PAGE}人間か？{WAIT}{PAGE}' (two questions: 'A girl?' then 'A human?'). EN renders 'Temple Knight:{WAIT}{PAGE}A human?{WAIT}{PAGE}' — the first window is an empty 'Temple Knight:' label (no {n}, no text) and the distinct question 女の子か？('A girl?') is dropped. Both the empty-window defect and the lost question are real.","Temple Knight:{WAIT}{PAGE}Who's there?{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}Huh?{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{WAIT}{PAGE}A human?{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}......{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{n}Hmm... no, you're not.{WAIT}{PAGE}A fairy, then...{WAIT}{PAGE}Hm... this might be just the chance.{WAIT}{PAGE}Hey...{n}I'd like a word with you.{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}A ""test subject""?{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}Heeheehee!{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{n}I-I just want to talk,{n}that's all...{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}Oh? And what will you do{n}once you get close?{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{n}I told you, just talk...{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}Tee hee.{WAIT}{PAGE}You're carrying nerve bullets,{n}aren't you?{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{n}......{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}You're way too easy to read.{WAIT}{PAGE}So simple-minded.{WAIT}{PAGE}Not very popular with{n}women, are you?{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{n}Wha...!{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}Oh my, now you're angry.{WAIT}{PAGE}Now you'll attack me with{n}that sword, hm?{WAIT}{PAGE}""Catch her off guard and slash her legs,""{n}is that it?{WAIT}{PAGE}Oh, how scary.{WAIT}{PAGE}You want to capture me and make{n}me a test subject, don't you?{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{n}I see... you...{n}you can read minds!{WAIT}{PAGE}{=0403000021000a28}{=040341002e000a78}Nadja:{n}And if I can, what then?{WAIT}{PAGE}{=0403400021000a28}{=040301002e000a78}Temple Knight:{n}Then whatever it takes...{WAIT}{PAGE}Ah!{WAIT}{PAGE}{=04030200ab000a28}{=58034000}{=2b030200}{=58031000}{=2b030000}{=08041a00}{=2b03ff00}{=0403000021000a28}{=05030b01}Nadja:{n}Tee hee.{WAIT}{PAGE}What an idiot.{WAIT}{PAGE}As if I'd stick around someone{n}thinking things like that!{WAIT}{PAGE}Nyeh!{WAIT}{PAGE}{=08041a00}{=2b03ff00}{=040301002e000a50}{=05030301}Temple Knight:{n}......{WAIT}{PAGE}{=08042200}{=2b03ff00}......{WAIT}",Temple Knight:{n}A girl?{WAIT}{PAGE}A human?{WAIT}{PAGE}
medium,story,08030AA8,"Confirmed. JP 'テンプルナイト：{n}はっ{WAIT}' (a curt acknowledgment 'Yes, sir!'/'At once!') after the Bishop's 御苦労でした. EN renders '{=0403400025000a50}{=040302002e000a28}Temple Knight:{WAIT}{PAGE}' with no text and no {n} — the reply is dropped, leaving an empty 'Temple Knight:' window on screen. Same empty-labeled-window defect as 08022802. (The Bishop's adjacent paraphrase '...I see. Thank you for bringing this to my attention.' for 御苦労でした is acceptable localization and not flagged.)","What are you doing?{WAIT}{PAGE}What in the world are{n}you about to do?{WAIT}{PAGE}{=040301002f000a48}{=0403420012000a78}Temple Knight:{n}Lord {ZAYIN},{n}that is a traitor.{WAIT}{PAGE}He would not heed the Center, so we had him confined{n}in the camps,{WAIT}{PAGE}but he escaped, so he is{n}now to be executed.{WAIT}{PAGE}{=040341002f000a48}{=0403020012000a78}{ZAYIN}:{n}Executed?{WAIT}{PAGE}Hey! He's barely more{n}than a child!{WAIT}{PAGE}How could a child like{n}that be a traitor?!{WAIT}{PAGE}{=040301002f000a48}{=0403420012000a78}Temple Knight:{n}......{WAIT}{PAGE}I am only following the{n}Bishop's orders.{WAIT}{PAGE}{=040341002f000a48}{=0403020012000a78}{ZAYIN}:{n}Ngh!{WAIT}{PAGE}The Bishop... where is he...{WAIT}{PAGE}{=08042200}{=2b03ff00}{=52030e00}{=0403000025000a50}{=05033d00}{=52036b00}{=5803b400}{=0403400025000a50}{=0403010012000a78}{ZAYIN}:{n}Bishop!{WAIT}{PAGE}{=0403000025000a50}{=0403410012000a78}Bishop:{n}Why, Sir {ZAYIN}.{n}What is the matter?{WAIT}{PAGE}{=0403400025000a50}{=0403010012000a78}{ZAYIN}:{n}Stop that execution{n}at once!{WAIT}{PAGE}Executing a mere child{n}like that...{WAIT}{PAGE}{=0403000025000a50}{=0403410012000a78}Bishop:{n}What are you saying, Sir {ZAYIN}?{n}A traitor is a traitor.{WAIT}{PAGE}We cannot simply pardon them{n}for being children.{WAIT}{PAGE}{=0403400025000a50}{=0403010012000a78}{ZAYIN}:{n}A traitor...{WAIT}{PAGE}{=0403000025000a50}{=0403410012000a78}Bishop:{n}Our goal is, above all else, to found the Thousand-Year{n}Kingdom.{WAIT}{PAGE}All people gathered under God,{n}and every one of them happy.{WAIT}{PAGE}Those who would hinder it{n}must be removed.{WAIT}{PAGE}Besides... this decision was{n}the will of those above.{WAIT}{PAGE}Nothing I could say now would...{WAIT}{PAGE}{=52036b00}{=5803b400}{=0403400025000a50}{=040302002e000a28}Temple Knight:{n}Pardon me.{WAIT}{PAGE}Your Grace, the execution{n}is complete.{WAIT}{PAGE}{=0403010012000a78}{=040342002e000a28}{ZAYIN}:{n}!!{WAIT}{PAGE}......{n}{=58037800}How... how could you...{WAIT}{PAGE}{=0403000025000a50}{=0403410012000a78}Bishop: ...I see. Thank{n}you for bringing this{n}to my attention.{WAIT}{PAGE}{=0403400025000a50}{=040302002e000a28}Temple Knight:{WAIT}{PAGE}{=2b030200}{=5803b400}{=52036b00}{=0403000025000a50}Bishop:{n}Sir {ZAYIN}.{WAIT}{PAGE}{=0403400025000a50}{=0403010012000a78}{ZAYIN}:{n}......{WAIT}{PAGE}{=0403000025000a50}{=0403410012000a78}Bishop:{n}The law must be obeyed.{WAIT}{PAGE}...Is that not so?{WAIT}{PAGE}{=0403400025000a50}{=0403010012000a78}{ZAYIN}:{n}......{WAIT}{PAGE}{=08042200}{=2b03ff00}................{WAIT}","{=0403400025000a50}{=040302002e000a28}Temple Knight:{n}Yes, sir!{WAIT}{PAGE}"
medium,story,08042E7A,"Confirmed wrong speaker. JP has two distinct staff labels: シビル (Cybil) then バニー (Bunny), each with an identical greeting. EN labels BOTH 'Cybil:', erasing Bunny entirely and mis-attributing her line. The Bunny is a separate named NPC; this is a genuine wrong-speaker error, not a paraphrase. (Note: the opcodes between the two greetings are 0x30F line_reset / 0x312 / 0x303 / 0x304 / 0x305 — not 0x310 page_reset — so this is also not a clean window boundary, but the label fix is the substantive correction.)","Cybil: Welcome! Come{n}in, enjoy yourselves!{WAIT}{=0f03142f0408}{=1203c800}{=03038100}{=04030000d0000350}{=05031400}Cybil: Welcome! Come{n}in, enjoy yourselves!{WAIT}{PAGE}{PAGE}Now, what will it be?{=130301023f004c2f}銀÷","Cybil: Welcome! Come{n}in, enjoy yourselves!{WAIT}{=0f03142f0408}{=1203c800}{=03038100}{=04030000d0000350}{=05031400}Bunny: Welcome! Come{n}in, enjoy yourselves!{WAIT}{PAGE}{PAGE}Now, what will it be?{=130301023f004c2f}銀÷"
medium,story,08049260,"Confirmed hallucination. JP windows 2 and 4 (split by {PAGE}) contain only the chant 'LET'S DANCIN'！'. EN windows 2 and 4 both render 'Yes! You, that man over{n}there!! LET'S DANCIN'!!' — the 'Yes! You, that man over there!!' clause (はい！そこの彼！！) does NOT appear in those JP windows; it belongs to the later drop-in window (EN there: 'Yes! You there!!'). Invented + duplicated content in both early chant windows. Window 4 (W3 in EN) carries a trailing opcode tail after {WAIT} that must be preserved.","Man: It's the night of the full moon! Full Moon Night at the{n}Moonlight Rave!{WAIT}{PAGE}Yes! You, that man over{n}there!! LET'S DANCIN'!!{WAIT}{PAGE}First up, the dance contest!{n}Starting with entry number 1!{WAIT}{PAGE}Yes! You, that man over{n}there!! LET'S DANCIN'!!{WAIT}{=1203c300}{=04030000dd000350}{=5803b400}{=04030000e0000350}{=5803b400}{=04030000dc000350}{=5803b400}{=04030000df000350}{=5803b400}{=04030000de000350}{=5803b400}{=04030000db000350}{=5803b400}{=04030000da000350}{=5803b400}{=040300001b000350}{PAGE}Man: Drop-in entries are welcome too! A gorgeous prize{n}awaits you!{WAIT}{PAGE}Anyone out there!?{WAIT}{PAGE}>Enter as a drop-in?{=0e034c970408}Yes! You there!!{n}LET'S DANCIN'!{WAIT}{=2b030000}{=04030000dd000331}{=04030100da00036e}{PAGE}>{ALEPH} danced{n}like crazy!{WAIT}{=5803b400}{=2b030000}{=2b030100}{=040300001b000350}{PAGE}...And now, the winner!{n}The winner is.........{WAIT}{=0c03a7005e950408}{=0c03a50018960408}{=d20309005e950408}{PAGE}Our drop-in entry, that man there!{n}Congratulations!{WAIT}{=0c041100}{PAGE}""{ITEM_NAME}"" is your prize!{n}CONGRATULATION!{WAIT}{PAGE}> You got {ITEM_NAME}.{WAIT}{=7903}{=1203a500}","Window 2 -> 'LET'S DANCIN'!!{WAIT}'  ;  Window 4 -> 'LET'S DANCIN'!!{WAIT}{=1203c300}{=04030000dd000350}{=5803b400}{=04030000e0000350}{=5803b400}{=04030000dc000350}{=5803b400}{=04030000df000350}{=5803b400}{=04030000de000350}{=5803b400}{=04030000db000350}{=5803b400}{=04030000da000350}{=5803b400}{=040300001b000350}'  (drop the 'Yes! You, that man over{n}there!! ' prefix in both; keep the W4 opcode tail intact)"
medium,story,080495B0,"Confirmed dropped content. JP '2番の彼女だ！　おめでとう！{WAIT}' (It's the lady at number 2! Congratulations!) — the winner-identification clause 2番の彼女だ！ is dropped and replaced by a meaningless '!!!'. This is the non-drop-in branch of the dance contest (entry idx 409, distinct from the drop-in winner reveal at 08049260), so the number-2 winner identity is real, screen-visible content that is lost.",!!!{n}Congratulations!{WAIT},It's the lady at number 2!{n}Congratulations!{WAIT}
medium,story,080495D8,"Confirmed dropped content. JP '4番の彼女だ！　おめでとう！' = 'It's the lady at number 4! Congratulations!'. EN replaced the winner-announcement clause with a meaningless '!!!', losing the winner's number/identity. Proven by the sibling runtime-alternate at 08049560 (entry number 1) which IS correctly translated 'It's the lady at number 1!' — the number-2/4/6 alternates (080495B0/080495D8/080495F8) were all stubbed to '!!!'. These are runtime-selected alternates picked by which dance-contest entry wins, so the number is real game content. Story entries are repointed/pooled (the number-1 sibling carries a much longer EN than its inline JP), so the JP 'max':15 budget does not block the longer EN.",!!!{n}Congratulations!{WAIT},It's the lady at number 4!{n}Congratulations!{WAIT}
medium,story,080495F8,"Same class as 080495D8. JP '6番の彼女だ！　おめでとう！' = 'It's the lady at number 6! Congratulations!'; EN stubbed to '!!!', dropping the winner number. Sibling 08049560 (number 1) is fully translated, confirming this is a real dropped-content stub, not a localization choice.",!!!{n}Congratulations!{WAIT},It's the lady at number 6!{n}Congratulations!{WAIT}
medium,story,08062F48,"Confirmed dropped subject + marker. JP '＞マーラの魔力は{n}もう失われている' = '>Mara's magic is already gone'. EN is the bare fragment 'is gone.' — the subject 'Mara's magic' (マーラの魔力) and the leading ＞ prompt marker are both gone, leaving a meaningless on-screen fragment. This is a complete standalone obstacle-check message (term 0301, leading ＞, ends {WAIT}+jump opcodes), not an inline continuation. Proven by the sibling family 08062FA2/08063024/080630A6 ('＞マーラの魔力で開かない') which kept the full '＞Mara's magic holds it shut.' — only this 'は…もう失われている' variant was truncated. Downgraded from high to medium: it's an environmental obstacle check, not a plot beat, but the meaning loss for the line is total. NB the candidate's suggested_fix carried a wrong opcode tail ({=6b03b53f1c00}); the real entry's tail is {=6b03b5371c00} and is preserved in the fix below.",is gone.{WAIT}{=08042a00}{=c6030000402f0608}{=6b03b5371c00},>Mara's magic{n}is already gone.{WAIT}{=08042a00}{=c6030000402f0608}{=6b03b5371c00}
medium,story,08062FCA,"Same dropped-subject bug as 08062F48 (a distinct branch copy, differing only in the {=c6030000be2f0608} jump target). JP '＞マーラの魔力は{n}もう失われている'; EN 'is gone.' drops the subject and ＞ marker. Sibling 'で開かない' family kept the full subject, confirming the truncation. Opcode tail preserved verbatim from the actual entry.",is gone.{WAIT}{=08042a00}{=c6030000be2f0608}{=6b03b53f1c00},>Mara's magic{n}is already gone.{WAIT}{=08042a00}{=c6030000be2f0608}{=6b03b53f1c00}
medium,story,0806304C,"Same dropped-subject bug as 08062F48/08062FCA (branch copy with jump target {=c603000040300608}). JP '＞マーラの魔力は{n}もう失われている'; EN 'is gone.' drops 'Mara's magic' and the ＞ marker. Opcode tail preserved verbatim ({=6b03bd371c00}, differs from the candidate's suggested tail but matches the actual file).",is gone.{WAIT}{=08042a00}{=c603000040300608}{=6b03bd371c00},>Mara's magic{n}is already gone.{WAIT}{=08042a00}{=c603000040300608}{=6b03bd371c00}
medium,story,080630CE,"Standalone field message (its own address/window, ＞-prefixed). JP '＞マーラの魔力は{n}もう失われている' = 'Mara's magic has already been lost.' EN renders only the bare predicate 'is gone.' — subject 'Mara's magic' and the 'already' (もう) nuance are dropped, leaving an orphaned fragment with no antecedent on screen. Confirmed not a continuation: the three sibling Mara messages (08062FCA/0806304C/080630CE) are self-contained alternates, and the parallel '＞マーラの魔力で開かない' (08063024/080630A6) DOES render the subject ('Mara's magic holds it shut'). So this is genuine dropped content, not localization.",is gone.{WAIT}{=08042a00}{=c6030000c2300608}{=6b03bd3f1c00},＞Mara's magic{n}is already gone.{WAIT}{=08042a00}{=c6030000c2300608}{=6b03bd3f1c00}
medium,story,08065776,"Second Madam block. JP 'あなたなら花田を連れもどしてくれると思ったのに…残念だわ' = 'I had thought you would bring Hanada back to me... How disappointing.' EN truncates mid-clause to 'I had thought you would{n}be able to bring' — no object (Hanada), and the '...back to me... how disappointing (残念だわ)' is dropped, leaving a dangling incomplete sentence. The FIRST identical JP block earlier in the SAME entry was rendered fully ('I was sure you would bring Hanada back to me... How disappointing.'), so the second occurrence is an inconsistent truncation of real content, not paraphrase.","Alfred: We have been expecting you,{n}Master {ALEPH}.{WAIT}{PAGE}I shall call the Madam{n}at once.{WAIT}{PAGE}{=2b030200}{=58032000}{=08040400}{=0e040200}{=0403020074000050}{=58032000}{=0e040200}{=0403000071000050}{=58031000}{=2b030200}Madam:{n}{=0403000072000050}So you have come again,{n}{ALEPH}.{WAIT}{PAGE}Then I shall lend you my pet once more.{n}{=2b030100}{WAIT}{PAGE}{=0f0336550608}{PAGE}{=0f0306570608}Alfred:{n}We have been expecting you,{n}Master {ALEPH}.{WAIT}{PAGE}I shall call the Madam{n}at once.{WAIT}{PAGE}{=2b030200}{=08037500}{=0c039e00d0580608}{=0f03a05a0608}{=5903010080590608}{=58032000}{=04030300c1010350}{DEMON_NAME}:{n}This is where we part.{WAIT}{PAGE}You couldn't bring Hanada back, but you're pretty strong.{n}I like you.{WAIT}{PAGE}We'll meet again someday.{WAIT}{=78030400}{=2b030300}{PAGE}＞{DEMON_NAME}{n}departed.{WAIT}{PAGE}{=0f03a05a0608}{=58032000}{=08040400}{=0e040200}{=0403020074000050}{=58032000}{=0e040200}{=0403000071000050}{=58031000}{=2b030200}Madam:{n}{=0403000072000050}{ALEPH},{n}well done.{=0403000071000050}{WAIT}{=0403000072000050}{PAGE}I was sure you would{n}bring Hanada back{=0403020074001060} to me...{n}{=2b030200}How disappointing.{=0403000071000050}{WAIT}{=0403000072000050}{PAGE}Oh? {DEMON_NAME} is not with you. And after I so kindly lent{n}them out... Well, no matter.{WAIT}{=19039e00}{=0f03465b0608}{=08040400}{=0e040200}{=0403020074000050}{=58032000}{=0e040200}{=0403000071000050}{=58031000}{=2b030200}Madam:{n}{=0403000072000050}{ALEPH},{n}well done.{=0403000071000050}{WAIT}{=0403000072000050}{PAGE}I had thought you would{n}be able to bring{WAIT}{=0403000071000050}{PAGE}{=0403000072000050}By the way, you have a visitor.{n}A messenger from the Center.{=0403000071000050}{WAIT}{=0403020074000050}{=58034000}{=2b030000}{PAGE}{=58032000}{=2b030200}{=58032000}{=03037700}{=58032000}{=0403000012000350}Man:{n}So you're the one who became the new Champion...{n}{ALEPH}, is it...{WAIT}{PAGE}Remember! Remember your own name!{n}Your name is...{WAIT}{PAGE}{=03037100}{=08040a00}{=0f03ba140708}{=08040b00}{=05034a00}{=58033000}{=03037700}{=0403020012000350}{PAGE}Man:{n}...It's {ALEPH}!{WAIT}{PAGE}Well? Do you remember now,{n}{ALEPH}?{WAIT}{n}{PAGE}I'm {ZAYIN}. I've been searching for you{n}all this time.{WAIT}{PAGE}You were one of the Center's people to begin with,{n}{ALEPH}.{WAIT}{PAGE}And {GIMMEL}, there is an order out for you{n}to return to the Center as well.{WAIT}{PAGE}I must ask you both to come{n}to the Center at once.{WAIT}{PAGE}{=2b030200}{=58032000}{=03037a00}{=0403020074000050}{=58032000}{=0403000071000050}{=58031000}{=2b030200}Madam:{n}{=0403000072000050}What a surprise.{n}To think you were a citizen{n}of the Center...{=0403000071000050}{WAIT}{=0403000072000050}{PAGE}Then you never needed to risk{n}those dangerous{=0403020074000050} fights in{n}{=2b030200}the Colosseum.{=0403000071000050}{WAIT}{=0403000072000050}{PAGE}You do not belong in a place like this.{n}Now, off to the Center with you.{=0403000071000050}{WAIT}{PAGE}{=58032000}{=12030e00}{=08041a00}{=2b030000}{=76030200}{=74030200}{=75030200}{=5803a000}{=0f03fc510408}{PAGE}Alfred: Please bring Hanada back soon.{n}The Madam is waiting.{WAIT}",{=0403000072000050}I had thought you would{n}bring Hanada back to me...{n}how disappointing.{WAIT}{=0403000071000050}
medium,story,08067072,"Service/healer menu label. JP 'アイテムを買う' = 'Buy item' (purchase). EN 'Which item will you use?' changes both verb and intent (buy -> use). Surrounding labels (Restore HP/MP, Cure status, Revive, Lift curse, Go outside) confirm this is a shop/service command list; 'use' misrepresents the action the row performs. Wrong-meaning label, not a localization paraphrase.",Which item will you use?,Buy item
medium,story,0806E900,"JP '女：{n}いってらしゃいませ{WAIT}{PAGE}ルシファー様の勝利を{n}願っていますわ' = one speaker: 'Off you go.' [PAGE] 'I pray for Lord Lucifer's victory.' The second EN window invents 'Welcome.' — there is no such greeting in the JP window (いってらっしゃいませ was already rendered as 'Off you go' in window 1), so it is hallucinated content. It also re-stamps a second 'Woman:' label mid-turn on a same-speaker continuation. ({PAGE} is present, so no two-speaker render-merge; the bug is the invented greeting.) The third-person->direct-address rephrase of the prayer is acceptable localization, but the invented 'Welcome.' is a real content error.","Woman:{n}Off you go, then.{WAIT}{PAGE}Woman: Welcome. Master{n}Lucifer, I pray for your{n}victory!{WAIT}","Woman:{n}Off you go, then.{WAIT}{PAGE}I pray for Lord{n}Lucifer's victory!{WAIT}"
medium,story,0806F55E,"JP '薬屋やってるアヌーン' = 'Anuun, who runs the pharmacy/apothecary (薬屋=kusuriya, medicine shop)'. EN says 'Anuun, who runs the inn' — 薬屋 is a drugstore/apothecary, not an inn (宿屋/yadoya). This is a factual mistranslation of the character's occupation that the player reads, not a paraphrase.","Dryad: Say, this is just{n}between us, but...{WAIT}{PAGE}Anuun, who runs the inn, seems to have fallen head over heels for {HIROKO},{n}who came from the surface.{WAIT}","Anuun, who runs the apothecary, seems to have fallen head over heels for {HIROKO},"
medium,story,0807BBAC,"Angel boss (Gabriel, after Uriel/Raphael fall). JP '{=1e030600}{n}今度は私が相手だ！' = 'Now it is my turn to face you!' — no mention of Lucifer. EN invents the clause 'he who defeated Lucifer himself!', a specific lore claim with no JP basis. Beyond localization flavor: it fabricates a plot fact. Fix preserves the {=1e030600} opcode and the {DEMON_NAME}: speaker label already in the EN.","Elder: So, you have come{n}after {ZAYIN}, {ALEPH}.{WAIT}{=2b030000}{=0403000029005830}{=0403010028005870}{=040302000e005750}{PAGE}Elder:{n}He has been reduced to a stone statue. Such is the fate of traitors!{WAIT}{PAGE}Elder:{n}And now I shall bury you as well!{WAIT}{PAGE}{=0e040400}{=040302000e005750}{=2b030200}{=58031000}{=2b030400}{=58031000}{=04030300ab005730}{=04030400ab005770}{=58032000}{=03032800}{=58031000}{=0e040400}{=0403000029005830}{=0e040400}{=0403010028005870}{=2b030300}{=2b030400}{=58031000}{=2b030000}{=2b030100}{=08041800}{=58030c00}{=03035500}{=58032000}{=08041900}{=01041000}{=09030000}{=09030100}{=08045500}{=19030a01}{PAGE}Raphael and Uriel:{n}Die, you botched excuse for a Messiah!{WAIT}{=08043500}{=10030000}{=03037700}{=21040300}{=07030000}{=07030100}{=08041a00}{=05037700}{=12030a01}{=05033a00}{=0e040400}{=040302000e005750}{=58032000}{=01041100}Elder: You killed Uriel{n}and Raphael!?{n}Unforgivable!!{WAIT}{PAGE}{=04030400ab005750}{=58032000}{=03035d00}{=0e040400}{=040302000e000350}{=2b030400}{=08041800}{=58030b00}{=2b030200}{=58031400}{=03035500}{=58032000}{=08041900}{=09030000}{=08045500}{=19030a01}{DEMON_NAME}: Now you face{n}me...he who defeated{n}Lucifer himself!{WAIT}{=08043500}{=10030000}{=03037700}{=21040300}{DEMON_NAME}:{n}{=21040800}O-Oh God,{n}save us…{WAIT}{PAGE}Bring judgment upon these ones…{WAIT}{PAGE}{=08045800}{=07030000}{=07030100}{=0303ff00}{=08041a00}{=08041a00}{=05037700}{=05033a00}{=040300002a005750}{=21040300}{PAGE}Elder:{n}Oh… all fallen, are they? Pitiful… But it could not be helped.{WAIT}{PAGE}…Enemies yet remain. Stay on your guard.{WAIT}{PAGE}{=03033800}{=08041800}{=58036000}{=76030300}{=74030300}{=75030300}{=2b030000}{=08041900}{=12030a01}{=05033a00}{=03038c00}{=08045500}{=19030a01}{=58034000}{=01042e00}{=09030000}{=58031000}God: Ye who darest{n}oppose my will! I shall{n}destroy thee all!{WAIT}{=08043500}{=10030000}{=03037700}{=08045800}{=07030000}{=07030100}{=21040800}Voice of the One God:{n}You who raised your blade against me…{WAIT}{PAGE}Unto the furthest end of your reincarnations, I shall bring calamity{WAIT}{PAGE}and visit punishment upon you…{WAIT}{=12035500}{=21040800}{PAGE}＞The three archangels who, as the Elders, manipulated the Center and ruled the Millennium…{WAIT}{PAGE}Michael, Raphael, and Uriel have fallen…{WAIT}{PAGE}{=0a034a01}{=0b0362c00708}＞{PARTY_NAME}{n}{ITEM_NAME} obtained!{WAIT}{PAGE}{=08042200}{=6b03190a0600}{=0303ff00}{=8803}{=040300002a000350}{=08042300}{=21040300}Elder: Well done,{n}{ALEPH}! I am...{WAIT}{=04030200ab000350}{=2b030000}{=03035500}{=58034000}{=2b030200}{=01043500}{=09030000}{=03037700}…the angel Gabriel.{WAIT}{PAGE}…Together with Michael and the others, I followed God's will to save mankind{WAIT}{PAGE}and sought to build the Millennium Kingdom.{WAIT}{PAGE}I, at least, tried to follow God's will.{WAIT}{PAGE}…But the Millennium we built became a thing that ruled over mankind.{WAIT}{PAGE}By God's word, once the Kingdom was built, a Messiah was to appear and guide the people…{WAIT}{PAGE}But none appeared in the Millennium.{WAIT}{PAGE}Too impatient to wait, the archangels tried to create a Messiah themselves.{WAIT}{PAGE}And so their deeds drifted ever further from God's will…{WAIT}{PAGE}God forsook the archangels.{WAIT}{PAGE}And He told me: leave Michael and the others, and walk the true path…{WAIT}{PAGE}{ZAYIN} has been restored, thanks to you.{WAIT}{PAGE}He is in the Center's control room…{WAIT}{PAGE}{=12035300}{=07030000}{=07030100}{=0303ff00}{=08041a00}{=5803a000}{=6b030b770600}{=03037700}{=05033d00}{=0403000012000350}{=08041b00}{ZAYIN}:{n}Thank you,{n}{ALEPH}…{WAIT}{PAGE}Because you defeated Michael and the others, I was freed.{WAIT}{PAGE}With the Elders gone, no one rules us… but no one runs the Millennium, either.{WAIT}{PAGE}I worry what will become of the Millennium now…{WAIT}{=58036000}{=03031400}{=58036d00}{=03031400}{=58036d00}{=03031400}{=58036d00}{=03035f00}{PAGE}Voice:{n}Emergency alert!{SLOW}{WAIT}{PAGE}Detecting violent energy fluctuations in Holytown!{SLOW}{WAIT}{PAGE}Emergency alert!{SLOW}{WAIT}{PAGE}Detecting violent energy fluctuations in Holytown!{SLOW}{n}Emergency alert…{WAIT}{PAGE}{ZAYIN}:{n}What on earth is happening?{WAIT}{PAGE}My body hasn't fully recovered. I still can't move well.{WAIT}{PAGE}Could you go to Holytown and investigate? Please…{WAIT}{=6b030a770600}",{=1e030600}{DEMON_NAME}: Now it is{n}my turn to face you!
