table_addr,entries,target_lo,target_hi,covered_pct,claiming_sections,status,sample,note
080352AC,579,08040E2C,08090438,100,dialogue,covered,不死身の身体に　なでぃたいか？,
0805C400,7,0805C4A8,0805C640,100,story,covered,·いらっしゃい　用件はなんだい？·d◯□九'□九\□九·□九·いらっしゃい　用件,
0805C43C,4,0805DCF0,0805DD84,100,story,covered,·オレも　一度でいいからカジノで/遊んでみたいよ/···□九·SELECTボタン,
0805C460,4,0805E646,0805E6AA,100,story,covered,·なんでも昔あった　○○は/全て直っているらしい/オレには　何のことか/わからな,
0805C484,4,0805EEDA,0805EFAE,100,story,covered,·この街は　地霊どもが住んでいる/やつら　暇さえあれば/酒を飲んでやがる/全く　,
0805C90C,6,0805C924,0805C9CA,100,story,covered,どのアイテムを修復するんだい？·□九どのアイテムを修復する？·□九どのアイテムを,
0805F3A0,4,0805F3B0,0805F48E,100,story,covered,·風の噂で　アヌーンちゃんに/恋人が出来た事を　聞いた…/ファンクラブも/今日で,
0805F8A8,6,0805F8C0,0805FA36,100,story,covered,元鑑定屋：/メモリーに空きが無いな/仲魔を減らしてから/また来ておくれ···□九,
0819853C,6,08002F3E,08003130,100,door_check,covered,入室チェックを行います/□□入室チェック終了/··あなたは力が足りません/ドアは,
084F3838,18,0815BC8C,0815BC8C,100,greetings,covered,私は□　□/貴方に忠誠をちかい/守護をにないましょう/·,
08581598,25,08009010,080094B8,100,bbs_boards,covered,どのボードを読みますか？＞1/No.1「交換」,
0858329C,4,080095D0,08009638,100,bank_sendback,covered,DICREAD＞S/「送り戻し」,
08583788,11,0800969E,0800973E,100,comp_levelrange,covered,　1　　〜　　910　　〜　1920　　〜　2930　　〜　3940　　〜　49,
08589CA8,5,0800975E,080097EC,100,bank_exchange,covered,EXCHANGE＞ћ/「マッカ」,
0858B250,14,08009824,08009AB6,100,link_comm,covered,通信の準備ができていません/通信□境を確認して/再度実行してください,
086BE5EC,4,081231C2,081231FC,100,system_battle_log,covered,戦闘を開始します,
086BE630,9,08123216,08123C9A,100,system_battle_log+system_menu,covered,剣で攻撃します,
086BEC28,27,081231C2,08123C9A,100,menu_config+system_battle_log+system_menu,covered,戦闘を開始します,
086BED5C,108,08123A06,08125ED4,100,battle+battlefrag,covered,□は/にらんだ·,
086BEF10,21,08123052,08123BC2,100,battlefrag,covered,は呪われた,
0876FC00,10,081246B0,0812472E,100,battle,covered,2身合体,
0876FC2C,12,0812474A,08124818,100,battle,covered,店を出る,
0876FC9C,30,08124894,08124B80,100,battle,covered,COMP作動,
0876FD18,10,08124BAA,08124D36,100,battle,covered,·位置替えできない·,
0876FD48,5,08124D72,08124DD8,100,battle,covered,·誰に使いますか？,
0876FD60,25,08124DF2,0812507E,100,battle,covered,出□があります/外へ出ますか？·□愚,
0876FE40,47,0812509E,081254F0,100,battle,covered,□から/MPを吸い取った·,
0876FFB8,28,08125502,0812576E,100,battle,covered,□は/力が抜けていった·,
0877002C,4,0812454E,08125884,100,battle,covered,□を/□に封じこめた·,
08770060,20,0812623E,081264CA,100,battle,covered,□は/どうしますか？,
087700B4,28,081264EE,08126794,100,battle,covered,悪魔を倒した,
087707E0,145,0812490C,081261AA,100,battle,covered,□は回復した·,
08777EA0,6,08123C9A,08123D14,100,system_menu,covered,COMPを使用します,
08777FE0,6,08123D26,08123DD0,100,system_menu,covered,COMP内の仲魔を召喚します,
08778ACC,4,08123E58,08123EB2,100,system_menu,covered,種族別に並べて表示します,
08778DF4,4,08124460,081244A4,100,system_menu,covered,アイテムを使用します,
087E3340,8,087E32C8,087E331C,0,,covered-code,　1〜　9,compendium level ranges: cave_skilllist.c comp_level_vwf synthesizes 'Lv10-19' by address identity (rommap.LEVEL_CAT_BASE) — repoint would break it
087F02C8,12,0815BBD4,0815BDC4,100,greetings,covered,ワシは□　□/今後とも　よろしく/·,
